ip	finger	hash	name	race	background	date	class	justClass	subclass	level	feats	HP	AC	Str	Dex	Con	Int	Wis	Cha	alignment	skills	weapons	spells	castingStat	choices	country	countryCode	processedAlignment	good	lawful	processedRace	processedSpells	processedWeapons	levelGroup	alias
e628418	9d1279b	6b1afb2ef34b09cc48e7cbd37b278950	bc48c317	Triton	City Watch	2020-11-04T20:10:35Z	Sorcerer 1	Sorcerer	Storm Sorcery	1		9	12	14	14	16	14	9	19	LG	Athletics|Arcana|Insight|Deception	Spear|Dagger		Cha		Italy	IT	LG	NA	NA	Triton		Spear|Dagger	1-3	objective_knuth
bdfb8f1	58e590f	8cce589eaae163f8dddb052fc9f34c75	c9757b2a	Forest Gnome	Guild Artisan	2020-11-03T07:10:05Z	Druid 6|Barbarian 4	Druid|Barbarian	Circle of the Moon|Path of the Totem Warrior	10		102	16	17	16	14	17	17	14	cg	Insight|Perception|Survival|Persuasion	Light hammer|Morningstar	Minor Illusion*0|Mold Earth*0|Primal Savagery*0|Magic Stone*0|Healing Word*1|Entangle*1|Cure Wounds*1|Create Or Destroy Water*1|Healing Spirits*2|Dust Devil *2|Warding Wind*2|Erupting Earth*3|Wall Of Water*3	Wis		United States	US	CG	NA	NA	Gnome	Minor Illusion*0|Mold Earth*0|Primal Savagery*0|Magic Stone*0|Healing Word*1|Entangle*1|Cure Wounds*1|Create or Destroy Water*1|Healing Spirit*2|Dust Devil*2|Warding Wind*2|Erupting Earth*3|Wall of Water*3	Light hammer|Morningstar	8-11	xenodochial_elion
8b1dca8	a20564d	7ddff929a65b787b8f84b9cb47bfb54d	95d89752	Human	Knight	2020-11-02T13:31:41Z	Paladin 1	Paladin		1		8	18	16	12	13	10	10	16		Athletics|Religion|Medicine|Persuasion	Longsword|Javelin		Cha		United States	US		NA	NA	Human		Longsword|Javelin	1-3	trusting_mayer
ff39b25		25fc1cca05749eedb120a6921905bc00	3674ca51	Half-Orc	Urchin	2020-11-02T09:24:43Z	Rogue 5	Rogue	Swashbuckler	5		17	15	15	16	12	8	12	14	CN	Athletics|Sleight of Hand|Stealth|Perception|Deception|Intimidation|Persuasion	Rapier|Dagger|Crossbow, hand| Front Desert Spear|Back Desert Spear|Goblin Lash		Int	expertise/Stealth*Athletics	Germany	DE	CN	NA	NA	Half-Orc		Rapier|Dagger|Crossbow, hand|Spear|Spear|	4-7	hopeful_ganguly
53569f5	c659e69	f96fa140c93e23bf1c08957e5c5b3b16	b124fe80	Sea Elf	Sea Warrior	2020-11-02T03:39:32Z	Druid 3	Druid	Circle of Dreams	3		24	14	15	10	14	10	16	12		Athletics|Animal Handling|Medicine|Perception|Survival	Scimitar	Druid Craft*0|Poison Spray*0|Healing Word*1|Entangle*1|Purify Food And Drink*1|Flame Blade*2|Hold Person*2|Pass Without A Trace*2	Wis		United States	US		NA	NA	Elf	Druidcraft*0|Poison Spray*0|Healing Word*1|Entangle*1|Purify Food and Drink*1|Flame Blade*2|Hold Person*2|Pass Without Trace*2	Scimitar	1-3	bold_blackburn
441f028	9423702	fe2f17f02a3e8560b9d940aced4b93ac	3bdec192	Half-Orc	Outlander	2020-10-31T20:57:36Z	Barbarian 2|Warlock 2	Barbarian|Warlock	|The Fiend	4		41	15	18	13	16	11	12	14	Chaotic Neutral	Athletics|Nature|Perception|Survival|Intimidation	Greatclub|Javelin|Shortsword|Crossbow, light|Daggerx2	Green Flame Blade*0|Booming Blade*0|Hex*1|Hellish Rebuke*1|Comprehend Languages *1	Cha	eldritch invocations/Mask of Many Faces*Devil's Sight	United States	US	CN	NA	NA	Half-Orc	Green-Flame Blade*0|Booming Blade*0|Hex*1|Hellish Rebuke*1|Comprehend Languages*1	Greatclub|Javelin|Shortsword|Crossbow, Light|Dagger	4-7	gallant_mccarthy
713728d	f5a3c4e	57f36439cc2e0473832f41c3ab40bc00	e181e7ff	Human	Guild Artisan	2020-10-31T15:26:36Z	Sorcerer 6	Sorcerer	Draconic Bloodline	6		43	14	11	12	15	11	9	20	Chaotic Good	Arcana|Insight|Deception|Persuasion	Quarterstaff|Dagger	Mage Hand*0|Minor Illusion*0|Shape Water*0|Fire Bolt*0|Create Bonfire*0|Shield*1|Magic Missile*1|Maximallian's Earthen Grasp*2|Invisibility*2|Haste*3|Fireball*3|Melf's Minute Meteors*3	Cha	metamagic/Distant Spell*Careful Spell	United States	US	CG	NA	NA	Human	Mage Hand*0|Minor Illusion*0|Shape Water*0|Fire Bolt*0|Create Bonfire*0|Shield*1|Magic Missile*1|Maximilian's Earthen Grasp*2|Invisibility*2|Haste*3|Fireball*3|Melf's Minute Meteors*3	Quarterstaff|Dagger	4-7	thirsty_allen
fadbc4e	44103df	69fbc204e152ad1a5247542063bc417e	f602d29c	Human	Guild Artisian	2020-10-31T15:11:34Z	Sorcerer 6	Sorcerer	Wild Magic	6		45	14	11	12	15	11	9	20	Chaotic good	Arcana|Insight|Perception|Deception|Persuasion	Dagger|Quarterstaff	Mage Hand*0|Minor Illusion*0|Shape Water*0|Fire Bolt*0|Create Bonfire*0|Chaos Bolt*1|Magic missile*1|Maximillian's Earthen Grasp*2|Invisibility*2|Haste*3|Fireball*3|Melf's Minute Meteors*3	Cha	metamagic/Twinned Spell*Empowered Spell	United States	US	CG	NA	NA	Human	Mage Hand*0|Minor Illusion*0|Shape Water*0|Fire Bolt*0|Create Bonfire*0|Chaos Bolt*1|Magic Missile*1|Maximilian's Earthen Grasp*2|Invisibility*2|Haste*3|Fireball*3|Melf's Minute Meteors*3	Dagger|Quarterstaff	4-7	laughing_margulis
	b96a901	5e49bc1434f1510ec9c49c3372af5f1c	c1b53800	Dark Elf	Hermit	2020-10-31T03:29:17Z	Revised Ranger 6	Revised Ranger	Beast Conclave	6		46	16	12	18	13	11	14	9	Chaotic Good	Stealth|Investigation|Religion|Medicine|Perception|Survival	Bow of the Guild|Dagger|Shortsword	Dancing Lights*0|Ensnaring Strike*1|Cure Wounds*1|Hunter's Mark*1|Summon Bestial Spirit*2	Wis	fighting style/Archery|favored enemy/Humanoids|animal companion/Giant Rat|greater favored enemy/Aberrations	Canada	CA	CG	NA	NA	Elf	Dancing Lights*0|Ensnaring Strike*1|Cure Wounds*1|Hunter's Mark*1|*	|Dagger|Shortsword	4-7	romantic_herschel
c540de6	c5dfc23	7b64dac0bd1ce4e5036855d9b62df011	407091d9	Human	Soldier	2020-10-31T01:33:49Z	Fighter 10	Fighter	Purple Dragon Knight	10	Heavy Armor Master	94	11	21	12	16	12	14	12		Athletics|Acrobatics|Perception|Intimidation|Persuasion	Flail|Battleaxe		Int	fighting style/Two-Weapon Fighting	United States	US		NA	NA	Human		Flail|Battleaxe	8-11	goofy_mcnulty
c540de6	c5dfc23	02b5752ebfe279b5031901dcfb21577f	b06f8c04	Human	Far Traveler	2020-10-31T01:33:21Z	Fighter 10	Fighter	Champion	10	Tough|Great Weapon Master	124	13	20	15	18	16	14	14		Athletics|Insight|Perception|Intimidation	Greatsword		Int	fighting style/Protection*Defense	United States	US		NA	NA	Human		Greatsword	8-11	vigilant_mccarthy
c540de6	c5dfc23	ee9ee416c32d7ffb4b5cdeb47308f44a	49b01682	Human	Acolyte	2020-10-31T01:32:58Z	Cleric 10	Cleric	Light Domain	10	Inspiring Leader|Observant	83	13	18	13	16	17	19	18		History|Religion|Insight|Medicine	Mace	Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2|Daylight*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Flame Strike*5|Scrying*5	Wis		United States	US		NA	NA	Human	Light*0|Burning Hands*1|Faerie Fire*1|Flaming Sphere*2|Scorching Ray*2|Daylight*3|Fireball*3|Guardian of Faith*4|Wall of Fire*4|Flame Strike*5|Scrying*5	Mace	8-11	cocky_bose
c540de6	c5dfc23	58ad9db1c0368d0d5694d50ce044ea74	4fbbdabc	Human	Noble	2020-10-31T01:32:00Z	Paladin 10	Paladin	Oath of the Crown	10		94	15	18	16	16	15	12	16		History|Insight|Intimidation|Persuasion	Greatsword|Javelin	Command*1|Compelled Duel*1|Warding Bond*2|Zone of Truth*2|Aura of Vitality*3|Spirit Guardians*3	Cha	fighting style/Protection	United States	US		NA	NA	Human	Command*1|Compelled Duel*1|Warding Bond*2|Zone of Truth*2|Aura Of Vitality*3|Spirit Guardians*3	Greatsword|Javelin	8-11	naughty_mccarthy
c540de6	c5dfc23	a0960248e6316812f0495d6cc689d88e	94c6dd06	Human	Sailor	2020-10-31T01:31:38Z	Rogue 10	Rogue	Swashbuckler	10	Dual Wielder	93	16	15	20	18	10	15	17		Athletics|Investigation|Perception|Persuasion	Rapier|Shortbow|Dagger		Int	expertise/Investigation*Perception	United States	US		NA	NA	Human		Rapier|Shortbow|Dagger	8-11	affectionate_brattain
c540de6	c5dfc23	362d17dc442052b2f3d67021a4b15fa4	fe78aa03	Human	Acolyte	2020-10-31T01:27:50Z	Wizard 10	Wizard	School of Transmutation	10	Magic Initiate	62	11	13	12	14	20	15	10		Arcana|History|Religion|Insight	Quarterstaff	Polymorph*4	Int		United States	US		NA	NA	Human	Polymorph*4	Quarterstaff	8-11	stupefied_morse
c540de6	c5dfc23	1d365216f2429b1a371bd5874f0f8e9a	564f68b8	Human	Criminal	2020-10-31T01:26:54Z	Rogue 10	Rogue	Thief	10	Lightly Armored|Skulker	73	15	17	21	15	12	14	10		Sleight of Hand|Stealth|Investigation|Perception|Deception|Persuasion	Rapier|Shortbow|Dagger		Int	expertise/Thieves' Tools*Stealth*Perception*Investigation	United States	US		NA	NA	Human		Rapier|Shortbow|Dagger	8-11	vibrant_fermi
c540de6	c5dfc23	7306ecbb1c647e9f3fe23042dceaa67a	65ebe76b	Human	Barbarian Tribe Member	2020-10-31T01:22:35Z	Barbarian 10	Barbarian	Path of the Berserker	10		105	15	19	14	16	10	10	12		Athletics|Perception|Survival|Intimidation	Greataxe|Handaxe|Javelin		Int		United States	US		NA	NA	Human		Greataxe|Handaxe|Javelin	8-11	admiring_jennings
c540de6	c5dfc23	e41642762872e76f58a1630800177955	f26e5900	Human	Noble	2020-10-31T01:21:14Z	Cleric 10	Cleric	Life Domain	10		83	13	16	12	16	16	18	10		History|Insight|Medicine|Persuasion	Mace	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5	Wis		United States	US		NA	NA	Human	Bless*1|Cure Wounds*1|Lesser Restoration*2|Spiritual Weapon*2|Beacon of Hope*3|Revivify*3|Death Ward*4|Guardian of Faith*4|Mass Cure Wounds*5|Raise Dead*5	Mace	8-11	friendly_murdock
c540de6	c5dfc23	2d5517102467be4f02a4953b88cfdd96	0001f433	Human	Noble	2020-10-31T01:02:36Z	Paladin 10	Paladin	OathBreaker	10	Heavily Armored	104	13	20	12	18	14	16	18		Athletics|History|Intimidation|Persuasion	Warhammer|Javelin	Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2|Animate Dead*3|Bestow Curse*3	Cha	fighting style/Great Weapon Fighting	United States	US		NA	NA	Human	Hellish Rebuke*1|Inflict Wounds*1|Crown of Madness*2|Darkness*2|Animate Dead*3|Bestow Curse*3	Warhammer|Javelin	8-11	vigorous_mahavira
f572611	7413e20	d2f2c3e784cb0393045e1008a973fc0a	fd685b7d	Goblin	Criminal	2020-10-31T00:33:24Z	Rogue 1	Rogue		1		8	15	13	18	16	14	15	14		Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception	Rapier|Shortsword|Dagger		Int	expertise/Sleight of Hand*Perception	United Kingdom	GB		NA	NA	Goblin		Rapier|Shortsword|Dagger	1-3	pensive_sinoussi
c3cfb7f	36c8173	c45095322db6262e5a7251718ad70111	d39614f8	Half-Elf	Sage	2020-10-30T22:50:30Z	Paladin 10	Paladin	Oath of Devotion	10	Defensive Duelist	120	16	14	14	15	14	14	14	Neutral Good	Athletics|Arcana|History|Insight|Medicine|Persuasion	Flail|Rapier|Dagger	Protection from Evil and Good*1|Sanctuary*1|Cure Wounds*1|Divine Favor*1|Shield Of Faith*1|Lesser Restoration*2|Zone of Truth*2|Branding Smite*2|Beacon of Hope*3|Dispel Magic*3|Daylight*3	Cha	fighting style/Dueling	United States	US	NG	NA	NA	Half-Elf	Protection from Evil and Good*1|Sanctuary*1|Cure Wounds*1|Divine Favor*1|Shield of Faith*1|Lesser Restoration*2|Zone of Truth*2|Branding Smite*2|Beacon of Hope*3|Dispel Magic*3|Daylight*3	Flail|Rapier|Dagger	8-11	serene_matsumoto
c3cfb7f	b82d08a	76f9cad166bdac8bcbb8c6f9cff1d815	d39614f8	Half-Elf	Sage	2020-10-30T22:31:14Z	Paladin 10	Paladin	Oath of Devotion	10	Defensive Duelist	120	16	14	14	15	14	14	14	Neutral Good	Athletics|Arcana|History|Insight|Medicine|Persuasion	Flail|Rapier|Dagger	Protection from Evil and Good*1|Sanctuary*1|Cure Wounds*1|Divine Favor*1|Shield Of Faith*1|Lesser Restoration*2|Zone of Truth*2|Branding Smite*2|Beacon of Hope*3|Dispel Magic*3|Daylight*3	Cha	fighting style/Dueling	United States	US	NG	NA	NA	Half-Elf	Protection from Evil and Good*1|Sanctuary*1|Cure Wounds*1|Divine Favor*1|Shield of Faith*1|Lesser Restoration*2|Zone of Truth*2|Branding Smite*2|Beacon of Hope*3|Dispel Magic*3|Daylight*3	Flail|Rapier|Dagger	8-11	serene_matsumoto
9cdf1b3	37a3221	efc3ec548e78827aa3f78440d69f479d	202b3fb7	Caliban	Rejected	2020-10-30T21:59:01Z	Rogue 5	Rogue	Thief	5	Resilient	36	12	14	13	13	14	13	8	Neutral 	Athletics|Acrobatics|Sleight of Hand|Stealth|Survival|Deception|Intimidation	Shortsword|Shortbow|Dagger		Int	expertise/Survival*Intimidation	United States	US	NN	NA	NA			Shortsword|Shortbow|Dagger	4-7	ecstatic_lehmann
7041390	d61801e	8bc49e7b694744f3e9b169abf0ffc409	4c5ceca7	Triton	Sailor	2020-10-30T17:58:12Z	Bard 1	Bard		1		10	12	14	12	14	12	8	16	Chaotic Good	Athletics|Investigation|Deception|Performance|Persuasion	Dagger|Trident	Dancing Lights*0|Minor Illusion*0|Fog Cloud*1|Thunderwave*1|Heroism*1|Healing Word*1|Bane*1	Cha		United States	US	CG	NA	NA	Triton	Dancing Lights*0|Minor Illusion*0|Fog Cloud*1|Thunderwave*1|Heroism*1|Healing Word*1|Bane*1	Dagger|Trident	1-3	dazzling_cohen
64f1fe2	7413e20	a48692486e26b6100d8b601a8fc91fe3	6ea3b2b7	Wood Elf	Outlander	2020-10-30T12:09:02Z	Ranger 1	Ranger		1		10	15	13	18	12	13	16	8		Athletics|Stealth|Nature|Insight|Perception|Survival	Shortsword|Longbow		Wis		United Kingdom	GB		NA	NA	Elf		Shortsword|Longbow	1-3	quizzical_joliot
8bcf71d	d20b2cf	49b3fc28fc8c8eac5bc376a70be31029	6f0b46bc	Human	Knight	2020-10-29T23:42:13Z	Paladin 20	Paladin	Oath of Devotion	20	Martial Adept	164	18	20	12	15	10	10	16		Athletics|Arcana|Religion|Intimidation|Persuasion	Morningstar|Greatsword|Javelin	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Branding Smite*2|Beacon of Hope*3|Dispel Magic*3|Crusader's Mantle*3|Freedom of Movement*4|Guardian of Faith*4|Staggering Smite*4|Commune*5|Flame Strike*5	Cha	combat superiority maneuvers/Sweeping Attack*Riposte|fighting style/Great Weapon Fighting	United States	US		NA	NA	Human	Protection from Evil and Good*1|Sanctuary*1|Lesser Restoration*2|Zone of Truth*2|Branding Smite*2|Beacon of Hope*3|Dispel Magic*3|Crusader's Mantle*3|Freedom of Movement*4|Guardian of Faith*4|Staggering Smite*4|Commune*5|Flame Strike*5	Morningstar|Greatsword|Javelin	19-20	optimistic_gates
		60ae547638b5ec0c9616adc92856631d	1cbd531f	Lightfoot Halfling	Criminal	2020-10-29T21:36:42Z	Rogue 3	Rogue	Thief	3		30	14	14	17	14	15	15	13		Acrobatics|Sleight of Hand|Stealth|Investigation|Perception|Deception	Rapier|Shortbow|Dagger|Psy-blade|Offhand Psy-blade		Int	expertise/Sleight of Hand*Perception	Canada	CA		NA	NA	Halfling		Rapier|Shortbow|Dagger||	1-3	stoic_allen
7b937b9	3d121bc	6c81a4f334b5d771d3b201964826bc58	40a036e9	Lineage - Levi	Haunted One	2020-10-29T04:53:33Z	Sorcerer 8	Sorcerer	Draconic Bloodline	8		71	14	10	12	16	14	11	18		Arcana|Insight|Survival|Persuasion	Dagger|Dagger		Cha	metamagic/Twinned Spell*Quickened Spell	Brazil	BR		NA	NA	Tiefling		Dagger|Dagger	8-11	keen_pasteur
7b937b9	3d121bc	4de1deea03be89d72925ab25b589c945	e130f180	Human	Criminal	2020-10-29T03:16:39Z	Rogue 8	Rogue	Assassin	8	Alert	59	16	11	20	14	14	12	7		Acrobatics|Sleight of Hand|Stealth|Investigation|Insight|Perception|Deception	Rapier|Shortbow|Dagger		Int	expertise/Stealth*Sleight of Hand*Thieves' Tools*Investigation	Brazil	BR		NA	NA	Human		Rapier|Shortbow|Dagger	8-11	angry_burnell
7b937b9	3d121bc	c528a48ec80fe567cd741cf0f494e60b	fa03e745	Satyr	Hermit	2020-10-29T02:32:42Z	Druid 8	Druid	Circle of the Moon	8		67	16	12	16	17	17	18	14		Nature|Religion|Medicine|Survival|Performance|Persuasion	Scimitar		Wis		Brazil	BR		NA	NA			Scimitar	8-11	sharp_poitras
787c6bf	111e625	69a41a6afc80ad7e7e556e6c5cb982ad	92e2f541	Earth Genasi	Outlander	2020-10-29T01:21:05Z	Ranger 1	Ranger		1		13	10	16	8	16	13	12	10		Athletics|Insight|Survival	Shortsword|Longbow		Wis		United States	US		NA	NA	Genasi		Shortsword|Longbow	1-3	elastic_wing
814e88a	bb5059e	96e4f2284236b1234a2a9895bb666814	2ef12c67	Goliath	Criminal	2020-10-28T23:45:49Z	Fighter 4	Fighter	Samurai	4	Dual Wielder	32	12	17	10	13	14	13	8		Athletics|Acrobatics|Stealth|History|Survival|Deception	Longbow|Longsword|Longsword|Crossbow, light		Int	fighting style/Two-Weapon Fighting	United States	US		NA	NA	Goliath		Longbow|Longsword|Longsword|Crossbow, Light	4-7	musing_lamport
09872cd	c1b6e7b	9b45d8179ec1c31b9873b054419cae37	8befb61a	Half-Orc	Outlander	2020-10-28T23:18:22Z	Druid 7	Druid	Circle of the Moon	7		47	17	11	11	13	11	17	11	chaotic neutral	Athletics|Nature|Medicine|Survival|Intimidation		Poison Spray*0|Shillelagh*0|Primal Savagery*0|Frostbite*0|Guidance*0|Gust*0|Mold Earth*0|Detect Magic*1|Entangle*1|Healing Word*1|Absorb Elements*1|Create/Destroy Water*1|Barkskin*2|Spike Growth*2|Burning Hands*2|Dust Devil*2|Earthbind*2|Enhance Ability*2|Spike Growth*2|Call Lightning*3|Conjure Animals*3|Dispel Magic*3|Feign Death*3|Moonbeam*3|Sleet storm*3|Wall Of Fire*4	Wis		United States	US	CN	NA	NA	Half-Orc	Poison Spray*0|Shillelagh*0|Primal Savagery*0|Frostbite*0|Guidance*0|Gust*0|Mold Earth*0|Detect Magic*1|Entangle*1|Healing Word*1|Absorb Elements*1|Create or Destroy Water*1|Barkskin*2|Spike Growth*2|*|Dust Devil*2|Earthbind*2|Enhance Ability*2|Spike Growth*2|Call Lightning*3|Conjure Animals*3|Dispel Magic*3|Feign Death*3|*|Sleet Storm*3|Wall of Fire*4		4-7	unruffled_jackson
09872cd	c1b6e7b	3795e12ac07bb6549901b54693a6f565	2eecd935			2020-10-28T23:14:17Z	Druid 4	Druid	Circle of the Moon	4		30	13	15	13	13	12	18	11					Int		United States	US		NA	NA				4-7	vibrant_swartz
09872cd	c1b6e7b	776dded6ee1bbb922160cf1a452bd427	1017aef8	Octopus	Custom	2020-10-28T23:08:41Z	Druid 1	Druid		1		52	11	17	13	13	4	11	6		Arcana|History|Nature	Scimitar		Wis		United States	US		NA	NA			Scimitar	1-3	dreamy_khayyam
09872cd	c1b6e7b	f018bab3ff4f501bc55c1f5a99446c65	69448dd3			2020-10-28T23:08:20Z	Druid 4	Druid	Circle of the Moon	4		45	15	14	18	16	5	14	8					Int		United States	US		NA	NA				4-7	amazing_burnell
09872cd	c1b6e7b	db84b3340942ad0760b6e4a4e21e2ba5	8befb61a	Half-Orc	Outlander	2020-10-28T22:57:12Z	Druid 6	Druid	Circle of the Moon	6		38	17	11	11	13	11	17	11	chaotic neutral	Athletics|Nature|Medicine|Survival|Intimidation		Poison Spray*0|Shillelagh*0|Primal Savagery*0|Frostbite*0|Guidance*0|Gust*0|Mold Earth*0|Detect Magic*1|Entangle*1|Healing Word*1|Absorb Elements*1|Create/Destroy Water*1|Barkskin*2|Spike Growth*2|Burning Hands*2|Dust Devil*2|Earthbind*2|Enhance Ability*2|Spike Growth*2|Call Lightning*3|Conjure Animals*3|Dispel Magic*3|Feign Death*3|Moonbeam*3|Sleet storm*3	Wis		United States	US	CN	NA	NA	Half-Orc	Poison Spray*0|Shillelagh*0|Primal Savagery*0|Frostbite*0|Guidance*0|Gust*0|Mold Earth*0|Detect Magic*1|Entangle*1|Healing Word*1|Absorb Elements*1|Create or Destroy Water*1|Barkskin*2|Spike Growth*2|*|Dust Devil*2|Earthbind*2|Enhance Ability*2|Spike Growth*2|Call Lightning*3|Conjure Animals*3|Dispel Magic*3|Feign Death*3|*|Sleet Storm*3		4-7	unruffled_jackson
